geometry,category
POINT (-98.6625666667 19.8352777778),Cultural
POINT (-110.975277778 18.7880555556),Natural
POINT (158.330833333 6.8397222222),Cultural
POINT (102.8313889 47.55666667),Cultural
POINT (88.3952777778 49.3338888889),Cultural
POINT (109.009327778 48.7619777778),Cultural
POINT (19.0166 43.133),Natural
POINT (18.7 42.48333),Cultural
POINT (-4.97778 34.06111),Cultural
POINT (-7.98667 31.63139),Cultural
POINT (-7.12889 31.04722),Cultural
POINT (-9.769439999999999 31.51667),Cultural
POINT (-5.55833 33.88333),Cultural
POINT (-5.55694 34.07389),Cultural
POINT (-5.36667 35.57083),Cultural
POINT (-8.501939999999999 33.25667),Cultural
POINT (-6.8227777778 34.0241666667),Cultural
POINT (40.73583 -15.03417),Cultural
POINT (95.8186111111 22.47),Cultural
POINT (14.3725833333 -20.5955833333),Cultural
POINT (15.4077777778 -24.8852777778),Natural
POINT (86.91306 27.96528),Natural
POINT (85.30858000000001 27.70395),Cultural
POINT (84.33333 27.5),Natural
POINT (7.33333 61.3),Cultural
POINT (83.27611 27.46889),Cultural
POINT (5.771666667 52.63861111),Cultural
POINT (4.893055556 52.37444444),Cultural
POINT (4.649444444 51.8825),Cultural
POINT (-68.90222 12.10194),Cultural
POINT (5.67889 52.84583),Cultural
POINT (4.911111111 52.54888889),Cultural
POINT (5.147222222 52.08527778),Cultural
POINT (4.8877777778 52.365),Cultural
POINT (4.4183333333 51.9233333333),Cultural
POINT (175.5622222 -39.29083333),Mixed
POINT (167.3196111 -45.03602778),Natural
POINT (166.1044444 -50.75),Natural
POINT (-86.61028 12.39722),Cultural
POINT (-86.8780555556 12.435),Cultural
POINT (9 18),Natural
POINT (7.9913888889 16.9736111111),Cultural
POINT (80.64027778000001 7.293611111),Cultural
POINT (13.57194 10.74056),Cultural
POINT (4.55222 7.75556),Cultural
POINT (11.3855555556 62.5738888889),Cultural
POINT (5.32306 60.39722),Cultural
POINT (23.18333 69.95),Cultural
POINT (11.75 65.61667),Cultural
POINT (68.13888889 27.32916667),Cultural
POINT (7.16667 62.11667),Natural
